UserID,Experiment,SessionNum,Trial,Date,Question,Answer,Response,RT,LenScore,LenAcc,StrictAcc,Info,TrialType,Feedback,DurationControl,Group,Phase,ContextCond,Pic
A1NITBXDX8TN7T,Demographics,4/18/17 3:39,57.004,Female,46,"Graduate degree (Masters, Doctorate, etc.)",Fluent
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,1,4/18/17 3:40,honour,flood,,13.684,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,2,4/18/17 3:40,crisis,plate,,7.375,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,3,4/18/17 3:40,evidence,poison,,8.849,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,4,4/18/17 3:40,determination,harbor,,7.789,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,5,4/18/17 3:40,simile,cheese,,7.749,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,6,4/18/17 3:40,emancipation,leech,,8.089,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,7,4/18/17 3:41,sentiment,corpse,,7.179,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,8,4/18/17 3:41,array,blame,,7.576,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,9,4/18/17 3:41,gender,donkey,,6.917,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,10,4/18/17 3:41,predicament,shorts,,6.961,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,11,4/18/17 3:41,satire,scarf,,7.503,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,12,4/18/17 3:41,ignorance,almond,,9.434,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,13,4/18/17 3:41,hope,yeast,,7.104,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,14,4/18/17 3:41,mercy,flavor,,7.643,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,15,4/18/17 3:42,mood,story,,6.901,0,0,0,ab,readoverpic,NoFeedback,UserTiming,B,InitialStudy,None,na
A1NITBXDX8TN7T,FlashcardsContextPics_2,1,16,4/18/17 3:42,honour,flood,flavor,9.558,54.54545455,0,0,ab,testoverpic,Feedback,UserTiming,B,InitialStudy,None,na
