UserID	Experiment	SessionNum	Trial	DateTime	RT	LenScore	LenAcc	StrictAcc	TrialType	Feedback	Group	Phase
Chilly G	exp1	1	1	First Row	21.805	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	1	4/9/17 19:33	21.805	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	2	4/9/17 19:38	0	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	2	4/9/17 19:38		0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	2	4/9/17 19:38	 starfish 	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	2	4/9/17 19:38	starfish	0	0	0	read	NoFeedback	A	InitialStudy
elfako	exp1	1	2	4/9/17 19:38		0	0	0	read	NoFeedback	A	InitialStudy
Chilly G 	exp1	1	3	4/9/17 19:38	11.907	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	4	4/9/17 19:38	7.215	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	5	4/9/17 19:38	8.736	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	6	4/9/17 19:38	12.558	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	7	4/9/17 19:38	7.398	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	8	4/9/17 19:39	13.549	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	9	4/9/17 19:39	20.259	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	10	4/9/17 19:39	2.553	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp1	1	11	4/9/17 19:39	13.584	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp2	1	12	4/9/17 19:39	4.848	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp2	1	13	4/9/17 19:39	11.893	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp2	1	14	4/9/17 19:40	4.893	0	0	0	read	NoFeedback	A	InitialStudy
Chilly G	exp2	1	16	4/9/17 19:40	39.802	0.900900901	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	17	4/9/17 19:43	137.373	0.8492569	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	18	4/9/17 19:44	82.873	0.809716599	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	19	4/9/17 19:45	80.169	1.398601399	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	20	4/9/17 19:46	69.83	0.871459695	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	21	4/9/17 19:50	183.994	0.549450549	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	22	4/9/17 19:51	58.171	0.634920635	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	23	4/9/17 19:51	59.512	0.724637681	0	0	test	NoFeedback	B	InitialTest
Chilly G	exp2	1	24	4/9/17 19:53	103.89	0.465116279	0	0	test	NoFeedback	B	InitialTest
